-BUTYL-BUTYRYL-LACTATE,Non disponible,Non disponible,No table found
LINESININE,Calcium-Antagonist,not available,"Duke, 1992 *"
LINESININE,Cardiotonic,not available,"Duke, 1992 *"
LINETTINE,Hypotensive,not available,"Duke, 1992 *"
LINOFOLIN-A,Insectifuge,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
LINOFOLIN-A,Pesticide,not available,"Duke, 1992 *"
LINOLEIC-ACID,5-Alpha-Reductase-Inhibitor,not available,"Duke, 1992 *"
LINOLEIC-ACID,Antiacne,not available,"Duke, 1992 *"
LINOLEIC-ACID,Antialopecic,not available,"Duke, 1992 *"
LINOLEIC-ACID,Antianaphylactic,not available,"Economic & Medicinal Plant Research, 6: 189."
LINOLEIC-ACID,Antiandrogenic,not available,"Duke, 1992 *"
LINOLEIC-ACID,Antiarteriosclerotic,not available,"Duke, 1992 *"
LINOLEIC-ACID,Antiarthritic,not available,"Economic & Medicinal Plant Research, 6: 189."
LINOLEIC-ACID,Anticoronary,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LINOLEIC-ACID,Antieczemic,not available,"Economic & Medicinal Plant Research, 6: 189."
LINOLEIC-ACID,Antifibrinolytic,not available,"Economic & Medicinal Plant Research, 1: 53."
LINOLEIC-ACID,Antigranular,not available,"Duke, 1992 *"
LINOLEIC-ACID,Antihistaminic,not available,"Economic & Medicinal Plant Research, 6: 189."
LINOLEIC-ACID,Antiinflammatory,IC50=31 uM,"Duke, 1992 *"
LINOLEIC-ACID,Antileukotriene-D4,IC50=31 uM,"Duke, 1992 *"
LINOLEIC-ACID,Antimenorrhagic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
LINOLEIC-ACID,AntiMS,not available,"Economic & Medicinal Plant Research, 6: 189."
LINOLEIC-ACID,Antiprostatitic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
LINOLEIC-ACID,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
LINOLEIC-ACID,Carcinogenic,not available,"Science News, 146: 421."
LINOLEIC-ACID,Comedolytic,not available,"Duke, 1992 *"
LINOLEIC-ACID,Hepatoprotective,not available,"Duke, 1992 *"
LINOLEIC-ACID,Hypocholesterolemic,not available,"Spiller, G. A. 1996 (Spiller, G. A. Ed. 1996. CRC Handbook of Lipids in Human Nutrition. CRC Press. Boca Raton, FL. 233 pp.)"
LINOLEIC-ACID,Immunomodulator,not available,"Economic & Medicinal Plant Research, 6: 189."
LINOLEIC-ACID,Insectifuge,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
LINOLEIC-ACID,Metastatic,not available,"Science News, 146: 421."
LINOLEIC-ACID,Nematicide,not available,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
LINOLEIC-ACID,Propecic,not available,"Duke, 1992 *"
LINOLENIC-ACID-METHYL-ESTER,Insectifuge,not available,"Tunon, H., Thorsell, W., and Bohlin, L. 1993. Mosquito Repelling Activity of Compounds Occurring in Achillea millefolium L. (Asteraceae). Economic Botany 48(2): 111-120, 1994."
LINOLENIC-ACID-METHYL-ESTER,Pesticide,not available,"Duke, 1992 *"
LINOLIIC-ACID,Non disponible,Non disponible,No table found
LINUSTATIN,Cyanogenic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LIPIFEROLIDE,Antitumor,not available,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
LIPIFEROLIDE,Cytotoxic,not available,"Duke, 1992 *"
LIQUIRITIC-ACID,Antiinflammatory,not available,"Duke, 1992 *"
LIQUIRITIGENIN,Antidepressant,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
LIQUIRITIGENIN,Antiinflammatory,not available,"Duke, 1992 *"
LIQUIRITIGENIN,Antileukemic,IC50=0.29 ug/ml,Life Sciences 55: 1061.
LIQUIRITIGENIN,Antispasmodic,not available,"Duke, 1992 *"
LIQUIRITIGENIN,Antiulcer,not available,"Duke, 1992 *"
LIQUIRITIGENIN,Cancer-Preventive,not available,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
LIQUIRITIGENIN,CNS-Active,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LIQUIRITIGENIN,Fungicide,ED50=>100,"Duke, 1992 *"
LIQUIRITIGENIN,Hemoglobin-Inducer,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LIQUIRITIGENIN,MAO-Inhibitor,EC50=17uM,"Duke, 1992 *"
LIQUIRITIGENIN,Pesticide,not available,"Duke, 1992 *"
LIQUIRITIGENIN,Phytoalexin,not available,"Duke, 1992 *"
LIQUIRITIGENIN-CHALCONE,Antispasmodic,not available,"Duke, 1992 *"
LIQUIRITIGENIN-CHALCONE,Antiulcer,not available,"Duke, 1992 *"
LIQUIRITIN,Antiinflammatory,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
LIQUIRITIN,Antiulcer,not available,"Duke, 1992 *"
LIQUIRITIN,Fungicide,not available,"Duke, 1992 *"
LIQUIRITONE,Antiinflammatory,not available,"Duke, 1992 *"
LIQUIRITOSIDE,Analgesic,not available,"Duke, 1992 *"
LIQUIRITOSIDE,Anticonvulsant,not available,"Duke, 1992 *"
LIRINIDINE,Antiserotonin,not available,"Duke, 1992 *"
LIRIODENDRIN,ACE-Inhibitor,not available,"Duke, 1992 *"
LIRIODENDRIN,Antianabolic,not available,"Duke, 1992 *"
LIRIODENDRIN,Calcium-Antagonist,10 mM,"Duke, 1992 *"
LIRIODENDRIN,Cytotoxic,ED50=2.4-30 ug/ml,"Duke, 1992 *"
LIRIODENINE,Analgesic,not available,"Grenand, P., Moretti, C., and Jacquemin, H. 1987. Pharmacopees Traditionnelles en Guyane.  l'ORSTROM, Paris. 569 pp."
LIRIODENINE,Antibacterial,not available,"Duke, 1992 *"
LIRIODENINE,Antidermatophytic,MIC 3.12 ug/mL,"Duke, 1992 *"
LIRIODENINE,Antitumor,not available,"Duke, 1992 *"
LIRIODENINE,Candidicide,not available,"Duke, 1992 *"
LIRIODENINE,Cytotoxic,not available,"Duke, 1992 *"
LIRIODENINE,Fungicide,MIC 100 ug/mL,"Duke, 1992 *"
LIRIODENINE,Pesticide,not available,"Duke, 1992 *"
LIRIODENINE,Sedative,not available,"Grenand, P., Moretti, C., and Jacquemin, H. 1987. Pharmacopees Traditionnelles en Guyane.  l'ORSTROM, Paris. 569 pp."
LIRIODENINE,Topoisomerase-II-Inhibitor,IC50=0.11 uM,"Duke, 1992 *"
LIRIODENINE,Vasodilator,0.1 mmol/l,"Duke, 1992 *"
LIRIORESINOL-B-DIMETHYL-ETHER,Calcium-Antagonist,220 uM gpg,"Duke, 1992 *"
LIRODENINE,Calcium-Antagonist,IC50=2.5 uM,"Duke, 1992 *"
LISIANTHOSIDE,Artemicide,LC50=150,"Duke, 1992 *"
LITHIUM,Antidepressant,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,Antihyperthyroid,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,Antimanic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,AntiPMS,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,Antipsychotic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,Antischizophrenic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,Antiviral,not available,"Duke, 1992 *"
LITHIUM,Cholinergic,not available,"Duke, 1992 *"
LITHIUM,Deliriant,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHIUM,Natriuretic,not available,"Duke, 1992 *"
LITHIUM,Nephrotoxic,not available,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
LITHOSPERMIC-ACID,Antigonadotrophic,not available,Jim Duke's personal files.
LITHOSPERMIC-ACID,Antithyroid,not available,Jim Duke's personal files.
LITHOSPERMIC-ACID,Cardiotonic,not available,"Duke, 1992 *"
LOBELANIDINE,Emetic,not available,"Duke, 1992 *"
LOBELANINE,Emetic,not available,"Duke, 1992 *"
LOBELINE,Antiasthmatic,not available,"Duke, 1992 *"
LOBELINE,Antibronchitic,not available,"Duke, 1992 *"
LOBELINE,Antismoking,2-8 mg/man/day transdermal,"Duke, 1992 *"
LOBELINE,Bronchoconstrictor,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
LOBELINE,Bronchodilator,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
LOBELINE,CNS-Depressant,not available,"Duke, 1992 *"
LOBELINE,CNS-Stimulant,not available,"Duke, 1992 *"
LOBELINE,Diuretic,not available,"Duke, 1992 *"
LOBELINE,Emetic,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
LOBELINE,Expectorant,not available,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
LOBELINE,Hypertensive,not available,"Duke, 1992 *"
LOBELINE,Hypotensive,not available,"Duke, 1992 *"
LOBELINE,Purgative,not available,"Duke, 1992 *"
LOBELINE,Respirastimulant,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
LOBELINE,Ruminatoric,not available,Merck 11th Edition
LOBELINE-SULFATE,Antismoking,not available,Martindale's 28th
LOBELINE-SULFATE,Respirastimulant,3-10 mg/man/ims/,Martindale's 28th
LOCHNERINE,Hypoglycemic,not available,"Duke, 1992 *"
LOGANIN,Antiedemic,Indomethacin,"Bruneton, J. 1999. Pharmacognosy, Phytochemistry, Medicinal Plants. 2nd Ed. Lavoisier Publishing, Paris. 1119 pp."
LOGANIN,Antiinflammatory,1/2-1/5 indomethacin,"Duke, 1992 *"
LOGANIN,Cathartic,ED50=540 mg/kg,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
LOGANIN,Laxative,not available,"Duke, 1992 *"
LOLIINE,Convulsant,not available,"Duke, 1992 *"
LOLIINE,Intoxicant,not available,"Duke, 1992 *"
LOLINE,Anticarcinomic,not available,"Duke, 1992 *"
LOLIOLIDE,Ant-Repellent,not available,"Duke, 1992 *"
LOLIOLIDE,Pesticide,not available,"Duke, 1992 *"
LOMATIOL,Anticarcinomic,32-250 ppm,Biosyn. Prod. Cancer Chemotherapy (Petit et al)
LONICERIN,Aldose-Reductase-Inhibitor,IC56=1uM; IC92=10uM,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888."
LONICERIN,Antispasmodic,not available,"Duke, 1992 *"
LOPHOPHORINE,Convulsant,12 mg/kg rbt,"UNESCO. 1960. Medicinal Plants of the Arid Zones. eds.(botany) I.C. Chopra, B.K. Abrol and K.L. Hands; eds (pharmacology), R. Paris and G. Dillemann  UNESCO, Place de Fontenoy, Paris 7E. 96 pp."
LORAJMINE,Antiarrhythmic,not available,"Duke, 1992 *"
LORAJMINE,Cardiodepressant,not available,"Duke, 1992 *"
LORAJMINE,Semisynthetic,not available,"Duke, 1992 *"
LOTAUSTRALIN,Antiallergic,not available,"Duke, 1992 *"
LOTAUSTRALIN,Cyanogenic,not available,"Cooper-Driver, G. A., Chemical substances in plants toxic to animals,  pp. 213-47 in Rechcigl, M., Jr., ed. CRC Handbook of Naturally Occurring Food Toxicants, CRC Press, Boca Raton,  1983, 339 pp."
LUCIDIN,Antibacterial,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUCIDIN,Genotoxic,not available,"Duke, 1992 *"
LUCIDIN,Mutagenic,not available,"Duke, 1992 *"
LUCIDIN,Pesticide,not available,"Duke, 1992 *"
LUCIDIN-3-BETA-PRIMEVEROSIDE,Non disponible,Non disponible,No table found
LUCIDIN-METHYL-ETHER,Antileukemic,not available,"Duke, 1992 *"
LUCIDIN-METHYL-ETHER,Cytotoxic,ED50(KB)=0.62 ug/ml,"Duke, 1992 *"
LUCYOSIDE-N,Fibrinolytic,not available,"Duke, 1992 *"
LUCYOSIDE-P,Fibrinolytic,not available,"Duke, 1992 *"
LUDARTIN,Antiulcer,40 mg/kg,"Duke, 1992 *"
LUDARTIN,Cytoprotective,not available,"Duke, 1992 *"
LUFFIN,Ribosome-Inactivator,not available,"Bonness, M. S., Promising new drugs from plants: poisons that heal, Herbarist, #56, 1990, 59-68"
LUFFIN-A,Ribosome-Inactivator,not available,"Duke, 1992 *"
LUNASINE,Antispasmodic,1-10 mg/L,"Collins, D.J., Culvenor, C.C.J., Lamberton, J.A., Loder, J.W. and Price, J.R., Plants for Medicines, CSIRO, East Melbourne, Australia, 1990, 303 pp."
LUNASINE,Bacteristat,not available,"Duke, 1992 *"
LUNASINE,Cytotoxic,not available,"Collins, D.J., Culvenor, C.C.J., Lamberton, J.A., Loder, J.W. and Price, J.R., Plants for Medicines, CSIRO, East Melbourne, Australia, 1990, 303 pp."
LUNASINE,Fungistat,120 ug/ml,"Collins, D.J., Culvenor, C.C.J., Lamberton, J.A., Loder, J.W. and Price, J.R., Plants for Medicines, CSIRO, East Melbourne, Australia, 1990, 303 pp."
LUNINE,Cytotoxic,not available,"Collins, D.J., Culvenor, C.C.J., Lamberton, J.A., Loder, J.W. and Price, J.R., Plants for Medicines, CSIRO, East Melbourne, Australia, 1990, 303 pp."
LUPANINE,Hypoglycemic,not available,"Duke, 1992 *"
LUPANINE,Molluscicide,not available,"Duke, 1992 *"
LUPANINE,Pesticide,not available,"Duke, 1992 *"
LUPEOL,Antiangiogenic,30-50 ug/ml,"Duke, 1992 *"
LUPEOL,AntiEBV,not available,"Duke, 1992 *"
LUPEOL,Antiedemic,not available,"Duke, 1992 *"
LUPEOL,Antiflu,not available,"Duke, 1992 *"
LUPEOL,Antihyperglycemic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUPEOL,Antiinflammatory,1/3 indomethacin,"Duke, 1992 *"
LUPEOL,Antilithic,25 mg/kg/day,"Duke, 1992 *"
LUPEOL,Antimalarial,IC50=46.8 ug/ml,"Khalid, S.A., Farouk, A., Geary**, T.G., and Jensen, J.B. 1985. Potential Antimalarial Candidates From African Plants: An In Vitro Approach Using Plasmodium falciparum*. Journal of Ethnopharmacology, 15: 201-209, 1986."
LUPEOL,Antioxalate,25 mg/kg/day,"Duke, 1992 *"
LUPEOL,Antioxidant,25 mg/kg/day,"Duke, 1992 *"
LUPEOL,Antiperoxidant,25 mg/kg/day,"Duke, 1992 *"
LUPEOL,Antiprostaglandin,not available,"Duke, 1992 *"
LUPEOL,Antirheumatic,not available,"Duke, 1992 *"
LUPEOL,Antitumor,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUPEOL,Antiurethrotic,not available,"Duke, 1992 *"
LUPEOL,Antiviral,not available,"Duke, 1992 *"
LUPEOL,Cytotoxic,50-500 ppm,"Duke, 1992 *"
LUPEOL,FPTase-Inhibitor,IC50=65 ug/ml,"Duke, 1992 *"
LUPEOL,Hypotensive,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUPEOL,Pesticide,not available,"Duke, 1992 *"
LUPEOL,TOPO-2-Inhibitor,IC50=10.4 uM,"Duke, 1992 *"
LUPEOL-ACETATE,Antihyperglycemic,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUPEOL-ACETATE,Antiulcer,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUPEOL-PALMITATE,Bacteristat,not available,"Duke, 1992 *"
LUPEOL-PALMITATE,Pesticide,not available,"Duke, 1992 *"
LUPININE,Abortifacient,not available,"Duke, 1992 *"
LUPININE,Antiarrhythmic,not available,"Duke, 1992 *"
LUPININE,Antiinflammatory,not available,"Duke, 1992 *"
LUPININE,Cathartic,not available,"Duke, 1992 *"
LUPININE,Diuretic,not available,"Duke, 1992 *"
LUPININE,Oxytocic,not available,"Duke, 1992 *"
LUPULIN,Antiseptic,not available,"Duke, 1992 *"
LUPULIN,Antispasmodic,not available,"Duke, 1992 *"
LUPULIN,Larvifuge,not available,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
LUPULIN,Pesticide,not available,"Duke, 1992 *"
LUPULONE,Antibacterial,not available,"Duke, 1992 *"
LUPULONE,Antibacterial,MIC=1-14 ug/ml,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
LUPULONE,Antioxidant,not available,"Duke, 1992 *"
LUPULONE,Antiseptic,not available,"Duke, 1992 *"
LUPULONE,Antispasmodic,not available,"Duke, 1992 *"
LUPULONE,Antitubercular,MIC=10 ug/ml,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
LUPULONE,Candidicide,not available,"Duke, 1992 *"
LUPULONE,Fungicide,not available,"Bezanger-Beauquesne*, L. Noveautes En Phytotherapie. Sixieme Revue. Plantes medicinales et phytotherapie, 23: 46-76, 1989."
LUPULONE,Pesticide,not available,"Duke, 1992 *"
LUTEIDINE,CNS-Active,15-50,"Duke, 1992 *"
LUTEIDINE,Hypotensive,not available,"Duke, 1992 *"
LUTEIDINE,Hypothermic,15-50,"Duke, 1992 *"
LUTEIDINE,Respirastimulant,not available,"Duke, 1992 *"
LUTEIN,Antiatherosclerotic,not available,"Duke, 1992 *"
LUTEIN,Anticancer (Breast),not available,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
LUTEIN,Antimaculitic,not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
LUTEIN,Antinyctalopic,not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
LUTEIN,Antioxidant,not available,"Duke, 1992 *"
LUTEIN,Antiproliferant,not available,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
LUTEIN,Antiradicular,not available,"Duke, 1992 *"
LUTEIN,Antiretinitic Optometry,not available,"Duke, 1992 *"
LUTEIN,Antitumor (Breast),not available,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
LUTEIN,Antitumor (Colon),not available,"Duke, 1992 *"
LUTEIN,Colorant,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUTEIN,Prooxidant,5-40 ug/g,"Duke, 1992 *"
LUTEIN,Quinone-Reductase-Inducer,2.5 ug,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
LUTEIN,Retinoprotectant Optometry,not available,"Duke, 1992 *"
LUTEIN,Ubiquiot,not available,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
LUTENURINE,Antibacterial,not available,"Duke, 1992 *"
LUTENURINE,Antivaginitic,not available,Martindale's 28th
LUTENURINE,Fungicide,not available,"Duke, 1992 *"
LUTENURINE,Pesticide,not available,"Duke, 1992 *"
LUTENURINE,Trichomonicide,not available,Martindale's 28th
LUTEOLIN,Aldose-Reductase-Inhibitor,EC=3 ppm,"Shin*, K.H., Chung, M.S., Chae, Y.J., Yoon, K.Y., Cho, T.S. 1992. A survey for aldose reductase inhibition of herbal medicines. Fitoterapia 64(2): 130, 1993."
LUTEOLIN,Aldose-Reductase-Inhibitor,IC50=0.45 uM rat,"Duke, 1992 *"
LUTEOLIN,Antiallergic,not available,"Duke, 1992 *"
LUTEOLIN,Antiangiogenic,IC60-75=10 uM,"Duke, 1992 *"
LUTEOLIN,Antiatherogenic,not available,"Duke, 1992 *"
LUTEOLIN,Antibacterial,MIC=500 ug/ml,"Planta Medica, 57: A43, 1991."
LUTEOLIN,Anticarcinogenic,not available,"Duke, 1992 *"
LUTEOLIN,Anticarcinomic,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Anticataract,EC=3 ppm,"Shin*, K.H., Chung, M.S., Chae, Y.J., Yoon, K.Y., Cho, T.S. 1992. A survey for aldose reductase inhibition of herbal medicines. Fitoterapia 64(2): 130, 1993."
LUTEOLIN,Anticomplementary,not available,"Duke, 1992 *"
LUTEOLIN,Antidermatic,not available,"Bisset, N.G., ed. 1994. Herbal Drugs and Phytopharmaceuticals. CRC Press. Boca Raton, FL. 566 pp."
LUTEOLIN,Antiestrogenic,not available,"Duke, 1992 *"
LUTEOLIN,Antifeedant,"IC52=<1,000 ppm diet","Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
LUTEOLIN,Antiherpetic,11-23 ug/ml,"Duke, 1992 *"
LUTEOLIN,Antihistaminic,<10-15 uM,"Duke, 1992 *"
LUTEOLIN,AntiHIV,not available,"Duke, 1992 *"
LUTEOLIN,Antiinflammatory,#NAME?,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
LUTEOLIN,Antileukemic,20-50 uM,"Duke, 1992 *"
LUTEOLIN,Antilymphomic,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antimelanomic,not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antimutagenic,ID50=2-5 nM,"Duke, 1992 *"
LUTEOLIN,Antimutagenic,ID50=0.44 ug/ml,"Duke, 1992 *"
LUTEOLIN,Antinociceptive,not available,"Duke, 1992 *"
LUTEOLIN,Antioxidant,IC50=10 uM,"Duke, 1992 *"
LUTEOLIN,Antipolio,not available,"Economic & Medicinal Plant Research, 5: 197."
LUTEOLIN,Antiproliferant,not available,"Duke, 1992 *"
LUTEOLIN,Antispasmodic,not available,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
LUTEOLIN,Antitumor,1-50 uM,"Duke, 1992 *"
LUTEOLIN,Antitumor (brain),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Colon),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Kidney),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Lung),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Ovary),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Pancreas),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Skin),20 uM,"Duke, 1992 *"
LUTEOLIN,Antitumor (Stomach),not available,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
LUTEOLIN,Antitumor (Thyroid),12-50 uM,"Duke, 1992 *"
LUTEOLIN,Antitussive,not available,"Duke, 1992 *"
LUTEOLIN,Antiviral,11-23 ug/ml,"Duke, 1992 *"
LUTEOLIN,Aphidifuge,not available,"Duke, 1992 *"
LUTEOLIN,Apoptotic,12-50 uM,"Duke, 1992 *"
LUTEOLIN,Aromatase-Inhibitor,IC35=1 uM/l,Journal of Medicinal Food 2: 235.1999.
LUTEOLIN,Beta-Glucuronidase-Inhibitor,IC50=~40 uM,"Duke, 1992 *"
LUTEOLIN,Calcium-Antagonist,IC50=1.2 uM rbt,"Duke, 1992 *"
LUTEOLIN,Cancer-Preventive,not available,"Duke, 1992 *"
LUTEOLIN,Chemopreventive,not available,"Duke, 1992 *"
LUTEOLIN,Choleretic,not available,"Duke, 1992 *"
LUTEOLIN,Cytotoxic,1-50 uM,"Duke, 1992 *"
